### 01100	Metabolic pathways
nosce_4242_1:NCER_102169	K01194
nosce_4242_1:NCER_100921	K01810
nosce_4242_1:NCER_100217	K02999
nosce_4242_1:NCER_101387	K07542
nosce_4242_1:NCER_100160	K03000
nosce_4242_1:NCER_102193	K02328
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_101291	K00993
nosce_4242_1:NCER_101118	K00033
nosce_4242_1:NCER_100379	K00654
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_101226	K15633
nosce_4242_1:NCER_101209	K00945
nosce_4242_1:NCER_101544	K01823
nosce_4242_1:NCER_100856	K03434
nosce_4242_1:NCER_100850	K00889
nosce_4242_1:NCER_100224	K18592
nosce_4242_1:NCER_102598	K01194
nosce_4242_1:NCER_100878	K01520
nosce_4242_1:NCER_100030	K01803
nosce_4242_1:NCER_102083	K05290
nosce_4242_1:NCER_102207	K02144
nosce_4242_1:NCER_101810	K10251
nosce_4242_1:NCER_101719	K03006
nosce_4242_1:NCER_100062	K13506
nosce_4242_1:NCER_100067	K02149
nosce_4242_1:NCER_101343	K10807
nosce_4242_1:NCER_101151	K00011
nosce_4242_1:NCER_101379	K02150
nosce_4242_1:NCER_101315	K01897
nosce_4242_1:NCER_100268	K03027
nosce_4242_1:NCER_101912	K11204
nosce_4242_1:NCER_100370	K03019
nosce_4242_1:NCER_101107	K03018
nosce_4242_1:NCER_100832	K00787
nosce_4242_1:NCER_100354	K01641
nosce_4242_1:NCER_102330	K17497
nosce_4242_1:NCER_100535	K00858
nosce_4242_1:NCER_101366	K02685
nosce_4242_1:NCER_101069	K02327
nosce_4242_1:NCER_101862	K00162
nosce_4242_1:NCER_101355	K07513
nosce_4242_1:NCER_100786	K13519
nosce_4242_1:NCER_101623	K03015
nosce_4242_1:NCER_101501	K00134
nosce_4242_1:NCER_100041	K03021
nosce_4242_1:NCER_101898	K00967
nosce_4242_1:NCER_101826	K00927
nosce_4242_1:NCER_101108	K00844
nosce_4242_1:NCER_102025	K00995
nosce_4242_1:NCER_101498	K11121
nosce_4242_1:NCER_100059	K11155

### 01110	Biosynthesis of secondary metabolites
nosce_4242_1:NCER_102645	K00006
nosce_4242_1:NCER_100333	K01783
nosce_4242_1:NCER_100483	K11778
nosce_4242_1:NCER_101417	K10703
nosce_4242_1:NCER_100738	K00021
nosce_4242_1:NCER_100821	K00161
nosce_4242_1:NCER_100321	K00789
nosce_4242_1:NCER_101930	K15728
nosce_4242_1:NCER_101750	K01689
nosce_4242_1:NCER_100660	K00966
nosce_4242_1:NCER_100905	K00615
nosce_4242_1:NCER_100383	K00873
nosce_4242_1:NCER_102131	K13513
nosce_4242_1:NCER_101275	K01895
nosce_4242_1:NCER_101036	K00869
nosce_4242_1:NCER_102160	K01885
nosce_4242_1:NCER_102078	K01807
nosce_4242_1:NCER_101278	K00006
nosce_4242_1:NCER_100462	K00981
nosce_4242_1:NCER_101901	K01057
nosce_4242_1:NCER_101037	K01895
nosce_4242_1:NCER_101309	K00940
nosce_4242_1:NCER_100052	K00036
nosce_4242_1:NCER_101910	K00787
nosce_4242_1:NCER_100921	K01810
nosce_4242_1:NCER_101291	K00993
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_101118	K00033
nosce_4242_1:NCER_101544	K01823
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_101226	K15633
nosce_4242_1:NCER_100030	K01803
nosce_4242_1:NCER_102351	K00006
nosce_4242_1:NCER_100062	K13506
nosce_4242_1:NCER_101810	K10251
nosce_4242_1:NCER_100832	K00787
nosce_4242_1:NCER_100354	K01641
nosce_4242_1:NCER_102330	K17497
nosce_4242_1:NCER_101355	K07513
nosce_4242_1:NCER_101862	K00162
nosce_4242_1:NCER_101826	K00927
nosce_4242_1:NCER_100786	K13519
nosce_4242_1:NCER_100642	K00111
nosce_4242_1:NCER_101501	K00134
nosce_4242_1:NCER_101108	K00844

### 01120	Microbial metabolism in diverse environments
nosce_4242_1:NCER_100905	K00615
nosce_4242_1:NCER_100383	K00873
nosce_4242_1:NCER_102078	K01807
nosce_4242_1:NCER_101275	K01895
nosce_4242_1:NCER_101037	K01895
nosce_4242_1:NCER_100052	K00036
nosce_4242_1:NCER_101901	K01057
nosce_4242_1:NCER_100333	K01783
nosce_4242_1:NCER_100821	K00161
nosce_4242_1:NCER_101750	K01689
nosce_4242_1:NCER_101355	K07513
nosce_4242_1:NCER_101862	K00162
nosce_4242_1:NCER_101108	K00844
nosce_4242_1:NCER_101826	K00927
nosce_4242_1:NCER_101501	K00134
nosce_4242_1:NCER_100921	K01810
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_101226	K15633
nosce_4242_1:NCER_101118	K00033
nosce_4242_1:NCER_100030	K01803

### 01200	Carbon metabolism
nosce_4242_1:NCER_101901	K01057
nosce_4242_1:NCER_100052	K00036
nosce_4242_1:NCER_101037	K01895
nosce_4242_1:NCER_101275	K01895
nosce_4242_1:NCER_102078	K01807
nosce_4242_1:NCER_100383	K00873
nosce_4242_1:NCER_100905	K00615
nosce_4242_1:NCER_101750	K01689
nosce_4242_1:NCER_100821	K00161
nosce_4242_1:NCER_100333	K01783
nosce_4242_1:NCER_101501	K00134
nosce_4242_1:NCER_101826	K00927
nosce_4242_1:NCER_101108	K00844
nosce_4242_1:NCER_101862	K00162
nosce_4242_1:NCER_100030	K01803
nosce_4242_1:NCER_101118	K00033
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_101226	K15633
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_100921	K01810

### 01210	2-Oxocarboxylic acid metabolism

### 01212	Fatty acid metabolism
nosce_4242_1:NCER_101355	K07513
nosce_4242_1:NCER_101810	K10251
nosce_4242_1:NCER_101315	K01897
nosce_4242_1:NCER_101417	K10703

### 01230	Biosynthesis of amino acids
nosce_4242_1:NCER_100030	K01803
nosce_4242_1:NCER_101226	K15633
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_101826	K00927
nosce_4242_1:NCER_101501	K00134
nosce_4242_1:NCER_100321	K00789
nosce_4242_1:NCER_101750	K01689
nosce_4242_1:NCER_100333	K01783
nosce_4242_1:NCER_102078	K01807
nosce_4242_1:NCER_100905	K00615
nosce_4242_1:NCER_100383	K00873

### 01220	Degradation of aromatic compounds

### 00010	Glycolysis / Gluconeogenesis
nosce_4242_1:NCER_101750	K01689
nosce_4242_1:NCER_100821	K00161
nosce_4242_1:NCER_101037	K01895
nosce_4242_1:NCER_101275	K01895
nosce_4242_1:NCER_100383	K00873
nosce_4242_1:NCER_100030	K01803
nosce_4242_1:NCER_101226	K15633
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_100921	K01810
nosce_4242_1:NCER_101108	K00844
nosce_4242_1:NCER_101826	K00927
nosce_4242_1:NCER_101501	K00134
nosce_4242_1:NCER_101862	K00162

### 00020	Citrate cycle (TCA cycle)
nosce_4242_1:NCER_100821	K00161
nosce_4242_1:NCER_101862	K00162

### 00030	Pentose phosphate pathway
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_101118	K00033
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_100921	K01810
nosce_4242_1:NCER_100052	K00036
nosce_4242_1:NCER_101901	K01057
nosce_4242_1:NCER_102078	K01807
nosce_4242_1:NCER_100905	K00615
nosce_4242_1:NCER_100333	K01783

### 00040	Pentose and glucuronate interconversions
nosce_4242_1:NCER_101151	K00011
nosce_4242_1:NCER_101329	K00011
nosce_4242_1:NCER_100333	K01783
nosce_4242_1:NCER_100663	K00963

### 00051	Fructose and mannose metabolism
nosce_4242_1:NCER_101329	K00011
nosce_4242_1:NCER_100660	K00966
nosce_4242_1:NCER_101151	K00011
nosce_4242_1:NCER_102330	K17497
nosce_4242_1:NCER_101108	K00844
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_100030	K01803

### 00052	Galactose metabolism
nosce_4242_1:NCER_102427	K00850
nosce_4242_1:NCER_101151	K00011
nosce_4242_1:NCER_101108	K00844
nosce_4242_1:NCER_100663	K00963
nosce_4242_1:NCER_101329	K00011

### 00053	Ascorbate and aldarate metabolism

### 00500	Starch and sucrose metabolism
nosce_4242_1:NCER_102597	K01194
nosce_4242_1:NCER_100663	K00963
nosce_4242_1:NCER_100278	K00697
nosce_4242_1:NCER_100921	K01810
nosce_4242_1:NCER_102169	K01194
nosce_4242_1:NCER_102598	K01194
nosce_4242_1:NCER_101108	K00844

### 00520	Amino sugar and nucleotide sugar metabolism
nosce_4242_1:NCER_101009	K00621
nosce_4242_1:NCER_100735	K00820
nosce_4242_1:NCER_100663	K00963
nosce_4242_1:NCER_100660	K00966
nosce_4242_1:NCER_100175	K00698
nosce_4242_1:NCER_100176	K00326
nosce_4242_1:NCER_101108	K00844
nosce_4242_1:NCER_100272	K01836
nosce_4242_1:NCER_102330	K17497
nosce_4242_1:NCER_100921	K01810

### 00620	Pyruvate metabolism
nosce_4242_1:NCER_100821	K00161
nosce_4242_1:NCER_101037	K01895
nosce_4242_1:NCER_101275	K01895
nosce_4242_1:NCER_100383	K00873
nosce_4242_1:NCER_101920	K01069
nosce_4242_1:NCER_101862	K00162

### 00630	Glyoxylate and dicarboxylate metabolism

### 00640	Propanoate metabolism
nosce_4242_1:NCER_101037	K01895
nosce_4242_1:NCER_101275	K01895

### 00650	Butanoate metabolism
nosce_4242_1:NCER_100354	K01641

### 00660	C5-Branched dibasic acid metabolism

### 00562	Inositol phosphate metabolism
nosce_4242_1:NCER_100850	K00889
nosce_4242_1:NCER_100030	K01803
nosce_4242_1:NCER_101400	K00999

### 00190	Oxidative phosphorylation
nosce_4242_1:NCER_101379	K02150
nosce_4242_1:NCER_100067	K02149
nosce_4242_1:NCER_102207	K02144
nosce_4242_1:NCER_101200	K02155
nosce_4242_1:NCER_101035	K02154
nosce_4242_1:NCER_102049	K02147
nosce_4242_1:NCER_101494	K02151
nosce_4242_1:NCER_101472	K02146
nosce_4242_1:NCER_101294	K02145
nosce_4242_1:NCER_102135	K02155

### 00195	Photosynthesis

### 00196	Photosynthesis - antenna proteins

### 00710	Carbon fixation in photosynthetic organisms
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_100030	K01803
nosce_4242_1:NCER_101501	K00134
nosce_4242_1:NCER_101826	K00927
nosce_4242_1:NCER_100333	K01783
nosce_4242_1:NCER_100905	K00615
nosce_4242_1:NCER_102078	K01807

### 00720	Carbon fixation pathways in prokaryotes
nosce_4242_1:NCER_101275	K01895
nosce_4242_1:NCER_101037	K01895

### 00680	Methane metabolism
nosce_4242_1:NCER_101750	K01689
nosce_4242_1:NCER_101037	K01895
nosce_4242_1:NCER_101275	K01895
nosce_4242_1:NCER_100242	K01623
nosce_4242_1:NCER_101226	K15633
nosce_4242_1:NCER_102427	K00850

### 00910	Nitrogen metabolism

### 00920	Sulfur metabolism

### 00061	Fatty acid biosynthesis
nosce_4242_1:NCER_101315	K01897

### 00062	Fatty acid elongation
nosce_4242_1:NCER_101810	K10251
nosce_4242_1:NCER_101417	K10703

### 00071	Fatty acid degradation
nosce_4242_1:NCER_101315	K01897
nosce_4242_1:NCER_101355	K07513

### 00072	Synthesis and degradation of ketone bodies
nosce_4242_1:NCER_100354	K01641

### 00073	Cutin, suberine and wax biosynthesis

### 00100	Steroid biosynthesis

### 00120	Primary bile acid biosynthesis

### 00121	Secondary bile acid biosynthesis

### 00140	Steroid hormone biosynthesis
nosce_4242_1:NCER_101810	K10251

### 00561	Glycerolipid metabolism
nosce_4242_1:NCER_102131	K13513
nosce_4242_1:NCER_101329	K00011
nosce_4242_1:NCER_101923	K17900
nosce_4242_1:NCER_101930	K15728
nosce_4242_1:NCER_100062	K13506
nosce_4242_1:NCER_101151	K00011
nosce_4242_1:NCER_100059	K11155
nosce_4242_1:NCER_100786	K13519

### 00564	Glycerophospholipid metabolism
nosce_4242_1:NCER_102351	K00006
nosce_4242_1:NCER_101291	K00993
nosce_4242_1:NCER_100628	K14676
nosce_4242_1:NCER_102025	K00995
nosce_4242_1:NCER_101898	K00967
nosce_4242_1:NCER_100786	K13519
nosce_4242_1:NCER_100642	K00111
nosce_4242_1:NCER_100062	K13506
nosce_4242_1:NCER_102057	K00968
nosce_4242_1:NCER_101930	K15728
nosce_4242_1:NCER_101400	K00999
nosce_4242_1:NCER_102645	K00006
nosce_4242_1:NCER_101278	K00006
nosce_4242_1:NCER_100462	K00981
nosce_4242_1:NCER_102276	K14156
nosce_4242_1:NCER_102131	K13513

### 00565	Ether lipid metabolism
nosce_4242_1:NCER_101291	K00993
nosce_4242_1:NCER_100786	K13519

### 00600	Sphingolipid metabolism
nosce_4242_1:NCER_100379	K00654
nosce_4242_1:NCER_100800	K00654
nosce_4242_1:NCER_100987	K04708

### 00590	Arachidonic acid metabolism
nosce_4242_1:NCER_101140	K00432
nosce_4242_1:NCER_101139	K00432
nosce_4242_1:NCER_100224	K18592

### 00591	Linoleic acid metabolism

### 00592	alpha-Linolenic acid metabolism
nosce_4242_1:NCER_101355	K07513

### 01040	Biosynthesis of unsaturated fatty acids
nosce_4242_1:NCER_101417	K10703
nosce_4242_1:NCER_101355	K07513
nosce_4242_1:NCER_101810	K10251

### 00230	Purine metabolism
nosce_4242_1:NCER_101277	K03008
nosce_4242_1:NCER_100631	K03002
nosce_4242_1:NCER_102193	K02328
nosce_4242_1:NCER_100160	K03000
nosce_4242_1:NCER_100217	K02999
nosce_4242_1:NCER_101719	K03006
nosce_4242_1:NCER_101343	K10807
nosce_4242_1:NCER_100370	K03019
nosce_4242_1:NCER_101107	K03018
nosce_4242_1:NCER_100268	K03027
nosce_4242_1:NCER_101827	K01514
nosce_4242_1:NCER_101069	K02327
nosce_4242_1:NCER_101366	K02685
nosce_4242_1:NCER_100041	K03021
nosce_4242_1:NCER_101623	K03015
nosce_4242_1:NCER_101022	K03022
nosce_4242_1:NCER_100401	K03012
nosce_4242_1:NCER_101104	K00942
nosce_4242_1:NCER_101243	K03011
nosce_4242_1:NCER_100585	K03025
nosce_4242_1:NCER_102312	K03007
nosce_4242_1:NCER_100351	K01522
nosce_4242_1:NCER_100184	K02324
nosce_4242_1:NCER_102232	K03013
nosce_4242_1:NCER_101672	K10808
nosce_4242_1:NCER_100383	K00873
nosce_4242_1:NCER_100120	K02320
nosce_4242_1:NCER_100983	K03010
nosce_4242_1:NCER_101309	K00940
nosce_4242_1:NCER_100976	K10807
nosce_4242_1:NCER_101019	K02684

### 00240	Pyrimidine metabolism
nosce_4242_1:NCER_100976	K10807
nosce_4242_1:NCER_101019	K02684
nosce_4242_1:NCER_101234	K01489
nosce_4242_1:NCER_102294	K00943
nosce_4242_1:NCER_101309	K00940
nosce_4242_1:NCER_100120	K02320
nosce_4242_1:NCER_100983	K03010
nosce_4242_1:NCER_101672	K10808
nosce_4242_1:NCER_102312	K03007
nosce_4242_1:NCER_102232	K03013
nosce_4242_1:NCER_100184	K02324
nosce_4242_1:NCER_101243	K03011
nosce_4242_1:NCER_100585	K03025
nosce_4242_1:NCER_100401	K03012
nosce_4242_1:NCER_101022	K03022
nosce_4242_1:NCER_100041	K03021
nosce_4242_1:NCER_101623	K03015
nosce_4242_1:NCER_101366	K02685
nosce_4242_1:NCER_101069	K02327
nosce_4242_1:NCER_101107	K03018
nosce_4242_1:NCER_100370	K03019
nosce_4242_1:NCER_100268	K03027
nosce_4242_1:NCER_101719	K03006
nosce_4242_1:NCER_101343	K10807
nosce_4242_1:NCER_100878	K01520
nosce_4242_1:NCER_101209	K00945
nosce_4242_1:NCER_102193	K02328
nosce_4242_1:NCER_100160	K03000
nosce_4242_1:NCER_100217	K02999
nosce_4242_1:NCER_101402	K01937
nosce_4242_1:NCER_101513	K00384
nosce_4242_1:NCER_101277	K03008
nosce_4242_1:NCER_100631	K03002

### 00250	Alanine, aspartate and glutamate metabolism
nosce_4242_1:NCER_100735	K00820

### 00260	Glycine, serine and threonine metabolism
nosce_4242_1:NCER_101226	K15633

### 00270	Cysteine and methionine metabolism
nosce_4242_1:NCER_100321	K00789

### 00280	Valine, leucine and isoleucine degradation
nosce_4242_1:NCER_101355	K07513
nosce_4242_1:NCER_100354	K01641

### 00290	Valine, leucine and isoleucine biosynthesis

### 00300	Lysine biosynthesis

### 00310	Lysine degradation

### 00330	Arginine and proline metabolism

### 00340	Histidine metabolism

### 00350	Tyrosine metabolism

### 00360	Phenylalanine metabolism

### 00380	Tryptophan metabolism

### 00400	Phenylalanine, tyrosine and tryptophan biosynthesis

### 00410	beta-Alanine metabolism

### 00430	Taurine and hypotaurine metabolism
nosce_4242_1:NCER_100224	K18592

### 00440	Phosphonate and phosphinate metabolism
nosce_4242_1:NCER_101898	K00967
nosce_4242_1:NCER_101291	K00993
nosce_4242_1:NCER_102057	K00968

### 00450	Selenocompound metabolism
nosce_4242_1:NCER_101513	K00384
nosce_4242_1:NCER_101052	K01874

### 00460	Cyanoamino acid metabolism
nosce_4242_1:NCER_100224	K18592

### 00471	D-Glutamine and D-glutamate metabolism

### 00472	D-Arginine and D-ornithine metabolism

### 00473	D-Alanine metabolism

### 00480	Glutathione metabolism
nosce_4242_1:NCER_100224	K18592
nosce_4242_1:NCER_101118	K00033
nosce_4242_1:NCER_101912	K11204
nosce_4242_1:NCER_101343	K10807
nosce_4242_1:NCER_100373	K01920
nosce_4242_1:NCER_101672	K10808
nosce_4242_1:NCER_101139	K00432
nosce_4242_1:NCER_100976	K10807
nosce_4242_1:NCER_101140	K00432
nosce_4242_1:NCER_100052	K00036

### 00510	N-Glycan biosynthesis
nosce_4242_1:NCER_102274	K00721

### 00513	Various types of N-glycan biosynthesis

### 00512	Mucin type O-Glycan biosynthesis

### 00514	Other types of O-glycan biosynthesis
nosce_4242_1:NCER_101962	K10967
nosce_4242_1:NCER_100505	K00728

### 00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate

### 00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin

### 00533	Glycosaminoglycan biosynthesis - keratan sulfate

### 00531	Glycosaminoglycan degradation

### 00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis
nosce_4242_1:NCER_101387	K07542
nosce_4242_1:NCER_102083	K05290
nosce_4242_1:NCER_100856	K03434
nosce_4242_1:NCER_100915	K05283
nosce_4242_1:NCER_101404	K03857
nosce_4242_1:NCER_101185	K05288

### 00601	Glycosphingolipid biosynthesis - lacto and neolacto series

### 00603	Glycosphingolipid biosynthesis - globo series

### 00604	Glycosphingolipid biosynthesis - ganglio series

### 00540	Lipopolysaccharide biosynthesis

### 00550	Peptidoglycan biosynthesis

### 00511	Other glycan degradation

### 00730	Thiamine metabolism
nosce_4242_1:NCER_100398	K04487

### 00740	Riboflavin metabolism

### 00750	Vitamin B6 metabolism

### 00760	Nicotinate and nicotinamide metabolism
nosce_4242_1:NCER_101498	K11121
nosce_4242_1:NCER_100535	K00858
nosce_4242_1:NCER_102029	K18551
nosce_4242_1:NCER_102310	K18551
nosce_4242_1:NCER_102142	K18551
nosce_4242_1:NCER_101613	K18551
nosce_4242_1:NCER_102028	K18551
nosce_4242_1:NCER_102020	K18551

### 00770	Pantothenate and CoA biosynthesis

### 00780	Biotin metabolism

### 00785	Lipoic acid metabolism

### 00790	Folate biosynthesis

### 00670	One carbon pool by folate

### 00830	Retinol metabolism
nosce_4242_1:NCER_100059	K11155
nosce_4242_1:NCER_100361	K15734

### 00860	Porphyrin and chlorophyll metabolism
nosce_4242_1:NCER_102160	K01885

### 00130	Ubiquinone and other terpenoid-quinone biosynthesis

### 00900	Terpenoid backbone biosynthesis
nosce_4242_1:NCER_101910	K00787
nosce_4242_1:NCER_101036	K00869
nosce_4242_1:NCER_100738	K00021
nosce_4242_1:NCER_100483	K11778
nosce_4242_1:NCER_100781	K06013
nosce_4242_1:NCER_100832	K00787
nosce_4242_1:NCER_100354	K01641
nosce_4242_1:NCER_100744	K06013
nosce_4242_1:NCER_101544	K01823

### 00902	Monoterpenoid biosynthesis

### 00909	Sesquiterpenoid and triterpenoid biosynthesis

### 00904	Diterpenoid biosynthesis

### 00906	Carotenoid biosynthesis

### 00905	Brassinosteroid biosynthesis

### 00981	Insect hormone biosynthesis

### 00908	Zeatin biosynthesis

### 00903	Limonene and pinene degradation

### 00281	Geraniol degradation

### 01052	Type I polyketide structures

### 00522	Biosynthesis of 12-, 14- and 16-membered macrolides

### 01051	Biosynthesis of ansamycins
nosce_4242_1:NCER_100905	K00615

### 01056	Biosynthesis of type II polyketide backbone

### 01057	Biosynthesis of type II polyketide products

### 00253	Tetracycline biosynthesis

### 00523	Polyketide sugar unit biosynthesis

### 01054	Nonribosomal peptide structures

### 01053	Biosynthesis of siderophore group nonribosomal peptides

### 01055	Biosynthesis of vancomycin group antibiotics

### 00940	Phenylpropanoid biosynthesis

### 00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis

### 00941	Flavonoid biosynthesis

### 00944	Flavone and flavonol biosynthesis

### 00942	Anthocyanin biosynthesis

### 00943	Isoflavonoid biosynthesis

### 00901	Indole alkaloid biosynthesis

### 00950	Isoquinoline alkaloid biosynthesis

### 00960	Tropane, piperidine and pyridine alkaloid biosynthesis

### 01058	Acridone alkaloid biosynthesis

### 00232	Caffeine metabolism

### 00965	Betalain biosynthesis

### 00966	Glucosinolate biosynthesis

### 00402	Benzoxazinoid biosynthesis

### 00311	Penicillin and cephalosporin biosynthesis

### 00521	Streptomycin biosynthesis
nosce_4242_1:NCER_101108	K00844

### 00524	Butirosin and neomycin biosynthesis
nosce_4242_1:NCER_101108	K00844

### 00331	Clavulanic acid biosynthesis

### 00231	Puromycin biosynthesis

### 00401	Novobiocin biosynthesis

### 00254	Aflatoxin biosynthesis

### 00362	Benzoate degradation
nosce_4242_1:NCER_101355	K07513

### 00627	Aminobenzoate degradation

### 00364	Fluorobenzoate degradation

### 00625	Chloroalkane and chloroalkene degradation

### 00361	Chlorocyclohexane and chlorobenzene degradation

### 00623	Toluene degradation

### 00622	Xylene degradation

### 00633	Nitrotoluene degradation

### 00642	Ethylbenzene degradation

### 00643	Styrene degradation

### 00791	Atrazine degradation

### 00930	Caprolactam degradation

### 00351	DDT degradation

### 00363	Bisphenol degradation

### 00621	Dioxin degradation

### 00626	Naphthalene degradation

### 00624	Polycyclic aromatic hydrocarbon degradation

### 00365	Furfural degradation

### 00984	Steroid degradation

### 00980	Metabolism of xenobiotics by cytochrome P450

### 00982	Drug metabolism - cytochrome P450

### 00983	Drug metabolism - other enzymes
nosce_4242_1:NCER_101234	K01489

### 01010	Overview of biosynthetic pathways

### 01060	Biosynthesis of plant secondary metabolites

### 01061	Biosynthesis of phenylpropanoids

### 01062	Biosynthesis of terpenoids and steroids

### 01063	Biosynthesis of alkaloids derived from shikimate pathway

### 01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid

### 01065	Biosynthesis of alkaloids derived from histidine and purine

### 01066	Biosynthesis of alkaloids derived from terpenoid and polyketide

### 01070	Biosynthesis of plant hormones

### 03020	RNA polymerase
nosce_4242_1:NCER_100983	K03010
nosce_4242_1:NCER_102312	K03007
nosce_4242_1:NCER_102232	K03013
nosce_4242_1:NCER_101243	K03011
nosce_4242_1:NCER_100585	K03025
nosce_4242_1:NCER_100401	K03012
nosce_4242_1:NCER_101022	K03022
nosce_4242_1:NCER_101623	K03015
nosce_4242_1:NCER_100041	K03021
nosce_4242_1:NCER_100268	K03027
nosce_4242_1:NCER_100370	K03019
nosce_4242_1:NCER_101107	K03018
nosce_4242_1:NCER_101719	K03006
nosce_4242_1:NCER_100217	K02999
nosce_4242_1:NCER_100160	K03000
nosce_4242_1:NCER_100631	K03002
nosce_4242_1:NCER_101277	K03008

### 03022	Basal transcription factors
nosce_4242_1:NCER_100934	K03144
nosce_4242_1:NCER_100026	K10842
nosce_4242_1:NCER_100651	K03125
nosce_4242_1:NCER_100338	K03124
nosce_4242_1:NCER_102024	K03134
nosce_4242_1:NCER_100681	K03136
nosce_4242_1:NCER_100001	K03142
nosce_4242_1:NCER_102196	K03131
nosce_4242_1:NCER_101303	K10844
nosce_4242_1:NCER_101199	K03122
nosce_4242_1:NCER_101030	K10843
nosce_4242_1:NCER_100012	K03139
nosce_4242_1:NCER_102344	K03120
nosce_4242_1:NCER_101372	K03123
nosce_4242_1:NCER_101163	K03128
nosce_4242_1:NCER_101204	K02202
nosce_4242_1:NCER_100965	K03137
nosce_4242_1:NCER_101622	K03130
nosce_4242_1:NCER_100666	K03132
nosce_4242_1:NCER_101878	K03135

### 03040	Spliceosome
nosce_4242_1:NCER_101089	K12883
nosce_4242_1:NCER_100087	K12829
nosce_4242_1:NCER_100971	K12815
nosce_4242_1:NCER_101364	K12873
